Location,Age,Gender,Ethnicity,Resolution,Offence,Year,Value,Flags
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",20508,
"Waikato District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2006",16218,
"Waikato District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2007",15942,
"Waikato District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2008",17657,
"Waikato District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2009",18351,
"Waikato District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2010",16137,
"Waikato District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2011",16877,
"Waikato District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2012",16569,
"Waikato District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2013",15949,
"Waikato District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2014",13374,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2005",19108,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2006",18902,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2007",19835,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2008",20516,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2009",25479,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2010",24362,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2011",22069,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2012",19831,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2013",17497,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2014",16952,
