Location,Scene,Offence,Year,Measure,Value,Flags
"Eastern District","Total Scene","Prohibited and regulated weapons and explosives offences","2009","Recorded",541,
"Eastern District","Total Scene","Prohibited and regulated weapons and explosives offences","2010","Recorded",541,
"Eastern District","Total Scene","Prohibited and regulated weapons and explosives offences","2011","Recorded",497,
"Eastern District","Total Scene","Prohibited and regulated weapons and explosives offences","2012","Recorded",453,
"Eastern District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",478,
"Eastern District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",455,
"Eastern District","Total Scene","Property damage and environmental pollution","1994","Recorded",3424,
"Eastern District","Total Scene","Property damage and environmental pollution","1995","Recorded",3331,
"Eastern District","Total Scene","Property damage and environmental pollution","1996","Recorded",2837,
"Eastern District","Total Scene","Property damage and environmental pollution","1997","Recorded",2988,
"Eastern District","Total Scene","Property damage and environmental pollution","1998","Recorded",2913,
"Eastern District","Total Scene","Property damage and environmental pollution","1999","Recorded",2521,
"Eastern District","Total Scene","Property damage and environmental pollution","2000","Recorded",2820,
"Eastern District","Total Scene","Property damage and environmental pollution","2001","Recorded",2985,
"Eastern District","Total Scene","Property damage and environmental pollution","2002","Recorded",3180,
"Eastern District","Total Scene","Property damage and environmental pollution","2003","Recorded",3232,
"Eastern District","Total Scene","Property damage and environmental pollution","2004","Recorded",2876,
"Eastern District","Total Scene","Property damage and environmental pollution","2005","Recorded",2932,
"Eastern District","Total Scene","Property damage and environmental pollution","2006","Recorded",3925,
"Eastern District","Total Scene","Property damage and environmental pollution","2007","Recorded",3907,
"Eastern District","Total Scene","Property damage and environmental pollution","2008","Recorded",3526,
"Eastern District","Total Scene","Property damage and environmental pollution","2009","Recorded",3357,
"Eastern District","Total Scene","Property damage and environmental pollution","2010","Recorded",3549,
"Eastern District","Total Scene","Property damage and environmental pollution","2011","Recorded",3081,
"Eastern District","Total Scene","Property damage and environmental pollution","2012","Recorded",2759,
"Eastern District","Total Scene","Property damage and environmental pollution","2013","Recorded",2755,
"Eastern District","Total Scene","Property damage and environmental pollution","2014","Recorded",2438,
"Eastern District","Total Scene","Public order offences","1994","Recorded",2129,
"Eastern District","Total Scene","Public order offences","1995","Recorded",2312,
"Eastern District","Total Scene","Public order offences","1996","Recorded",1971,
"Eastern District","Total Scene","Public order offences","1997","Recorded",2412,
"Eastern District","Total Scene","Public order offences","1998","Recorded",2256,
"Eastern District","Total Scene","Public order offences","1999","Recorded",1686,
"Eastern District","Total Scene","Public order offences","2000","Recorded",1987,
"Eastern District","Total Scene","Public order offences","2001","Recorded",2032,
"Eastern District","Total Scene","Public order offences","2002","Recorded",2373,
"Eastern District","Total Scene","Public order offences","2003","Recorded",2588,
"Eastern District","Total Scene","Public order offences","2004","Recorded",2491,
"Eastern District","Total Scene","Public order offences","2005","Recorded",2408,
"Eastern District","Total Scene","Public order offences","2006","Recorded",2901,
"Eastern District","Total Scene","Public order offences","2007","Recorded",3098,
"Eastern District","Total Scene","Public order offences","2008","Recorded",2686,
"Eastern District","Total Scene","Public order offences","2009","Recorded",3460,
"Eastern District","Total Scene","Public order offences","2010","Recorded",3080,
"Eastern District","Total Scene","Public order offences","2011","Recorded",3039,
"Eastern District","Total Scene","Public order offences","2012","Recorded",2959,
"Eastern District","Total Scene","Public order offences","2013","Recorded",2634,
"Eastern District","Total Scene","Public order offences","2014","Recorded",2119,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","1994","Recorded",761,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","1995","Recorded",951,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","1996","Recorded",979,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","1997","Recorded",977,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","1998","Recorded",1154,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","1999","Recorded",1239,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2000","Recorded",1456,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2001","Recorded",1475,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2002","Recorded",1809,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2003","Recorded",1446,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2004","Recorded",1065,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2005","Recorded",1032,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2006","Recorded",993,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2007","Recorded",964,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2008","Recorded",1006,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2009","Recorded",984,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2010","Recorded",1161,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2011","Recorded",1131,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2012","Recorded",975,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",1033,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",1305,
"Eastern District","Total Scene","Miscellaneous offences","1994","Recorded",89,
"Eastern District","Total Scene","Miscellaneous offences","1995","Recorded",98,
"Eastern District","Total Scene","Miscellaneous offences","1996","Recorded",129,
"Eastern District","Total Scene","Miscellaneous offences","1997","Recorded",137,
"Eastern District","Total Scene","Miscellaneous offences","1998","Recorded",91,
"Eastern District","Total Scene","Miscellaneous offences","1999","Recorded",87,
"Eastern District","Total Scene","Miscellaneous offences","2000","Recorded",172,
"Eastern District","Total Scene","Miscellaneous offences","2001","Recorded",191,
"Eastern District","Total Scene","Miscellaneous offences","2002","Recorded",191,
"Eastern District","Total Scene","Miscellaneous offences","2003","Recorded",204,
"Eastern District","Total Scene","Miscellaneous offences","2004","Recorded",75,
"Eastern District","Total Scene","Miscellaneous offences","2005","Recorded",73,
"Eastern District","Total Scene","Miscellaneous offences","2006","Recorded",48,
"Eastern District","Total Scene","Miscellaneous offences","2007","Recorded",69,
"Eastern District","Total Scene","Miscellaneous offences","2008","Recorded",99,
"Eastern District","Total Scene","Miscellaneous offences","2009","Recorded",85,
"Eastern District","Total Scene","Miscellaneous offences","2010","Recorded",85,
"Eastern District","Total Scene","Miscellaneous offences","2011","Recorded",94,
"Eastern District","Total Scene","Miscellaneous offences","2012","Recorded",119,
"Eastern District","Total Scene","Miscellaneous offences","2013","Recorded",122,
"Eastern District","Total Scene","Miscellaneous offences","2014","Recorded",103,
"Eastern District","Total Scene","Total Offences","1994","Resolved",11765,
"Eastern District","Total Scene","Total Offences","1995","Resolved",10599,
"Eastern District","Total Scene","Total Offences","1996","Resolved",10372,
"Eastern District","Total Scene","Total Offences","1997","Resolved",10766,
"Eastern District","Total Scene","Total Offences","1998","Resolved",11025,
"Eastern District","Total Scene","Total Offences","1999","Resolved",9923,
"Eastern District","Total Scene","Total Offences","2000","Resolved",10552,
"Eastern District","Total Scene","Total Offences","2001","Resolved",11072,
"Eastern District","Total Scene","Total Offences","2002","Resolved",12404,
"Eastern District","Total Scene","Total Offences","2003","Resolved",12148,
"Eastern District","Total Scene","Total Offences","2004","Resolved",11235,
"Eastern District","Total Scene","Total Offences","2005","Resolved",10826,
"Eastern District","Total Scene","Total Offences","2006","Resolved",11698,
"Eastern District","Total Scene","Total Offences","2007","Resolved",11822,
"Eastern District","Total Scene","Total Offences","2008","Resolved",11742,
"Eastern District","Total Scene","Total Offences","2009","Resolved",13345,
"Eastern District","Total Scene","Total Offences","2010","Resolved",13202,
"Eastern District","Total Scene","Total Offences","2011","Resolved",13175,
"Eastern District","Total Scene","Total Offences","2012","Resolved",11391,
"Eastern District","Total Scene","Total Offences","2013","Resolved",11254,
"Eastern District","Total Scene","Total Offences","2014","Resolved",10887,
"Central District","Total Scene","Total Offences","1994","Recorded",46220,
"Central District","Total Scene","Total Offences","1995","Recorded",47093,
"Central District","Total Scene","Total Offences","1996","Recorded",46415,
"Central District","Total Scene","Total Offences","1997","Recorded",46300,
"Central District","Total Scene","Total Offences","1998","Recorded",43804,
"Central District","Total Scene","Total Offences","1999","Recorded",41479,
"Central District","Total Scene","Total Offences","2000","Recorded",38210,
"Central District","Total Scene","Total Offences","2001","Recorded",35812,
"Central District","Total Scene","Total Offences","2002","Recorded",34934,
"Central District","Total Scene","Total Offences","2003","Recorded",34452,
"Central District","Total Scene","Total Offences","2004","Recorded",30094,
"Central District","Total Scene","Total Offences","2005","Recorded",30731,
"Central District","Total Scene","Total Offences","2006","Recorded",33019,
"Central District","Total Scene","Total Offences","2007","Recorded",32762,
"Central District","Total Scene","Total Offences","2008","Recorded",33246,
"Central District","Total Scene","Total Offences","2009","Recorded",32314,
"Central District","Total Scene","Total Offences","2010","Recorded",31084,
"Central District","Total Scene","Total Offences","2011","Recorded",29593,
"Central District","Total Scene","Total Offences","2012","Recorded",27575,
"Central District","Total Scene","Total Offences","2013","Recorded",28006,
"Central District","Total Scene","Total Offences","2014","Recorded",27592,
"Central District","Total Scene","Homicide and related offences","1994","Recorded",14,
"Central District","Total Scene","Homicide and related offences","1995","Recorded",12,
"Central District","Total Scene","Homicide and related offences","1996","Recorded",18,
"Central District","Total Scene","Homicide and related offences","1997","Recorded",45,
"Central District","Total Scene","Homicide and related offences","1998","Recorded",7,
"Central District","Total Scene","Homicide and related offences","1999","Recorded",8,
"Central District","Total Scene","Homicide and related offences","2000","Recorded",15,
"Central District","Total Scene","Homicide and related offences","2001","Recorded",14,
"Central District","Total Scene","Homicide and related offences","2002","Recorded",18,
"Central District","Total Scene","Homicide and related offences","2003","Recorded",12,
"Central District","Total Scene","Homicide and related offences","2004","Recorded",16,
"Central District","Total Scene","Homicide and related offences","2005","Recorded",14,
"Central District","Total Scene","Homicide and related offences","2006","Recorded",7,
"Central District","Total Scene","Homicide and related offences","2007","Recorded",7,
"Central District","Total Scene","Homicide and related offences","2008","Recorded",13,
"Central District","Total Scene","Homicide and related offences","2009","Recorded",15,
"Central District","Total Scene","Homicide and related offences","2010","Recorded",11,
"Central District","Total Scene","Homicide and related offences","2011","Recorded",9,
"Central District","Total Scene","Homicide and related offences","2012","Recorded",6,
"Central District","Total Scene","Homicide and related offences","2013","Recorded",7,
"Central District","Total Scene","Homicide and related offences","2014","Recorded",4,
"Central District","Total Scene","Acts intended to cause injury","1994","Recorded",2900,
"Central District","Total Scene","Acts intended to cause injury","1995","Recorded",3046,
"Central District","Total Scene","Acts intended to cause injury","1996","Recorded",3006,
"Central District","Total Scene","Acts intended to cause injury","1997","Recorded",2932,
"Central District","Total Scene","Acts intended to cause injury","1998","Recorded",2838,
"Central District","Total Scene","Acts intended to cause injury","1999","Recorded",2752,
"Central District","Total Scene","Acts intended to cause injury","2000","Recorded",2663,
"Central District","Total Scene","Acts intended to cause injury","2001","Recorded",2731,
"Central District","Total Scene","Acts intended to cause injury","2002","Recorded",2792,
"Central District","Total Scene","Acts intended to cause injury","2003","Recorded",2868,
"Central District","Total Scene","Acts intended to cause injury","2004","Recorded",2766,
"Central District","Total Scene","Acts intended to cause injury","2005","Recorded",2847,
"Central District","Total Scene","Acts intended to cause injury","2006","Recorded",2962,
"Central District","Total Scene","Acts intended to cause injury","2007","Recorded",3437,
"Central District","Total Scene","Acts intended to cause injury","2008","Recorded",3637,
"Central District","Total Scene","Acts intended to cause injury","2009","Recorded",3792,
"Central District","Total Scene","Acts intended to cause injury","2010","Recorded",3583,
"Central District","Total Scene","Acts intended to cause injury","2011","Recorded",3627,
"Central District","Total Scene","Acts intended to cause injury","2012","Recorded",3346,
"Central District","Total Scene","Acts intended to cause injury","2013","Recorded",3165,
"Central District","Total Scene","Acts intended to cause injury","2014","Recorded",3192,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2010","Recorded",928,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2011","Recorded",903,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2012","Recorded",855,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",1075,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",1123,
"Central District","Total Scene","Robbery, extortion and related offences","1994","Recorded",164,
"Central District","Total Scene","Robbery, extortion and related offences","1995","Recorded",173,
"Central District","Total Scene","Robbery, extortion and related offences","1996","Recorded",171,
"Central District","Total Scene","Robbery, extortion and related offences","1997","Recorded",165,
"Central District","Total Scene","Robbery, extortion and related offences","1998","Recorded",153,
"Central District","Total Scene","Robbery, extortion and related offences","1999","Recorded",133,
"Central District","Total Scene","Robbery, extortion and related offences","2000","Recorded",105,
"Central District","Total Scene","Robbery, extortion and related offences","2001","Recorded",116,
"Central District","Total Scene","Robbery, extortion and related offences","2002","Recorded",118,
"Central District","Total Scene","Robbery, extortion and related offences","2003","Recorded",111,
"Central District","Total Scene","Robbery, extortion and related offences","2004","Recorded",88,
"Central District","Total Scene","Robbery, extortion and related offences","2005","Recorded",138,
"Central District","Total Scene","Robbery, extortion and related offences","2006","Recorded",160,
"Central District","Total Scene","Robbery, extortion and related offences","2007","Recorded",161,
"Central District","Total Scene","Robbery, extortion and related offences","2008","Recorded",145,
"Central District","Total Scene","Robbery, extortion and related offences","2009","Recorded",148,
"Central District","Total Scene","Robbery, extortion and related offences","2010","Recorded",153,
"Central District","Total Scene","Robbery, extortion and related offences","2011","Recorded",127,
"Central District","Total Scene","Robbery, extortion and related offences","2012","Recorded",110,
"Central District","Total Scene","Robbery, extortion and related offences","2013","Recorded",102,
"Central District","Total Scene","Robbery, extortion and related offences","2014","Recorded",99,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2009","Recorded",944,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2008","Recorded",931,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2007","Recorded",871,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2006","Recorded",868,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2005","Recorded",787,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2004","Recorded",752,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2003","Recorded",916,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2002","Recorded",923,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2001","Recorded",955,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2000","Recorded",899,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","1999","Recorded",949,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","1998","Recorded",930,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","1997","Recorded",1011,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","1996","Recorded",1057,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","1995","Recorded",911,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","1994","Recorded",915,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",61,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",51,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2012","Recorded",62,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2011","Recorded",56,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2010","Recorded",54,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2009","Recorded",56,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2008","Recorded",45,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2007","Recorded",55,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2006","Recorded",46,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2005","Recorded",41,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2004","Recorded",47,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2003","Recorded",121,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2002","Recorded",85,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2001","Recorded",79,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2000","Recorded",64,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","1999","Recorded",84,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","1998","Recorded",76,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","1997","Recorded",142,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","1996","Recorded",159,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","1995","Recorded",170,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","1994","Recorded",177,
"Central District","Total Scene","Sexual assault and related offences","2014","Recorded",306,
"Central District","Total Scene","Sexual assault and related offences","2013","Recorded",380,
"Central District","Total Scene","Sexual assault and related offences","2012","Recorded",265,
"Central District","Total Scene","Sexual assault and related offences","2011","Recorded",275,
"Central District","Total Scene","Sexual assault and related offences","2010","Recorded",264,
"Central District","Total Scene","Sexual assault and related offences","2009","Recorded",229,
"Central District","Total Scene","Sexual assault and related offences","2008","Recorded",263,
"Central District","Total Scene","Sexual assault and related offences","2007","Recorded",211,
"Central District","Total Scene","Sexual assault and related offences","2006","Recorded",182,
"Central District","Total Scene","Sexual assault and related offences","2005","Recorded",201,
"Central District","Total Scene","Sexual assault and related offences","2004","Recorded",210,
"Central District","Total Scene","Sexual assault and related offences","2003","Recorded",270,
"Central District","Total Scene","Fraud, deception and related offences","2001","Recorded",1713,
"Central District","Total Scene","Fraud, deception and related offences","2002","Recorded",1362,
"Central District","Total Scene","Fraud, deception and related offences","2003","Recorded",1015,
"Central District","Total Scene","Fraud, deception and related offences","2004","Recorded",924,
"Central District","Total Scene","Fraud, deception and related offences","2005","Recorded",740,
"Central District","Total Scene","Fraud, deception and related offences","2006","Recorded",735,
"Central District","Total Scene","Fraud, deception and related offences","2007","Recorded",581,
"Central District","Total Scene","Fraud, deception and related offences","2008","Recorded",873,
"Central District","Total Scene","Fraud, deception and related offences","2009","Recorded",797,
"Central District","Total Scene","Fraud, deception and related offences","2010","Recorded",643,
"Central District","Total Scene","Fraud, deception and related offences","2011","Recorded",605,
"Central District","Total Scene","Fraud, deception and related offences","2012","Recorded",520,
"Central District","Total Scene","Fraud, deception and related offences","2013","Recorded",583,
"Central District","Total Scene","Fraud, deception and related offences","2014","Recorded",715,
"Central District","Total Scene","Sexual assault and related offences","2002","Recorded",238,
"Central District","Total Scene","Sexual assault and related offences","2001","Recorded",211,
"Central District","Total Scene","Sexual assault and related offences","2000","Recorded",221,
"Central District","Total Scene","Sexual assault and related offences","1999","Recorded",256,
"Central District","Total Scene","Sexual assault and related offences","1998","Recorded",241,
"Central District","Total Scene","Sexual assault and related offences","1997","Recorded",253,
"Central District","Total Scene","Sexual assault and related offences","1996","Recorded",254,
"Central District","Total Scene","Sexual assault and related offences","1995","Recorded",299,
"Central District","Total Scene","Sexual assault and related offences","1994","Recorded",276,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","1994","Recorded",8298,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","1995","Recorded",7563,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","1996","Recorded",7723,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","1997","Recorded",7806,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","1998","Recorded",7053,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","1999","Recorded",7060,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2000","Recorded",6260,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2001","Recorded",4939,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2002","Recorded",4831,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2003","Recorded",4777,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2004","Recorded",4531,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2005","Recorded",4867,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2006","Recorded",5160,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2007","Recorded",5297,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2008","Recorded",5123,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2009","Recorded",4944,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2010","Recorded",4705,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2011","Recorded",4603,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2012","Recorded",4356,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",4472,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",4540,
"Central District","Total Scene","Theft and related offences","1994","Recorded",18571,
"Central District","Total Scene","Theft and related offences","1995","Recorded",18463,
"Central District","Total Scene","Theft and related offences","1996","Recorded",17052,
"Central District","Total Scene","Theft and related offences","1997","Recorded",17098,
"Central District","Total Scene","Theft and related offences","1998","Recorded",15975,
"Central District","Total Scene","Theft and related offences","1999","Recorded",14689,
"Central District","Total Scene","Theft and related offences","2000","Recorded",13587,
"Central District","Total Scene","Theft and related offences","2001","Recorded",13038,
"Central District","Total Scene","Theft and related offences","2002","Recorded",13257,
"Central District","Total Scene","Theft and related offences","2003","Recorded",12515,
"Central District","Total Scene","Theft and related offences","2004","Recorded",10848,
"Central District","Total Scene","Theft and related offences","2005","Recorded",11292,
"Central District","Total Scene","Theft and related offences","2006","Recorded",11585,
"Central District","Total Scene","Theft and related offences","2007","Recorded",10536,
"Central District","Total Scene","Theft and related offences","2008","Recorded",9989,
"Central District","Total Scene","Theft and related offences","2009","Recorded",9270,
"Central District","Total Scene","Theft and related offences","2010","Recorded",9132,
"Central District","Total Scene","Theft and related offences","2011","Recorded",8606,
"Central District","Total Scene","Theft and related offences","2012","Recorded",8170,
"Central District","Total Scene","Theft and related offences","2013","Recorded",8689,
"Central District","Total Scene","Theft and related offences","2014","Recorded",8839,
"Central District","Total Scene","Fraud, deception and related offences","1994","Recorded",2763,
"Central District","Total Scene","Fraud, deception and related offences","1995","Recorded",3449,
"Central District","Total Scene","Fraud, deception and related offences","1996","Recorded",3622,
"Central District","Total Scene","Fraud, deception and related offences","1997","Recorded",2579,
"Central District","Total Scene","Fraud, deception and related offences","1998","Recorded",2381,
"Central District","Total Scene","Fraud, deception and related offences","1999","Recorded",1858,
"Central District","Total Scene","Fraud, deception and related offences","2000","Recorded",1531,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2004","Recorded",477,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2005","Recorded",496,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2006","Recorded",580,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2007","Recorded",590,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2008","Recorded",593,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2009","Recorded",609,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2010","Recorded",548,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2011","Recorded",528,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2012","Recorded",613,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",522,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",532,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","1994","Recorded",644,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","1995","Recorded",613,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","1996","Recorded",616,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","1997","Recorded",643,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","1998","Recorded",635,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","1999","Recorded",668,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2000","Recorded",515,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2001","Recorded",528,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2002","Recorded",529,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2003","Recorded",568,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","2010","Recorded",1313,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","2011","Recorded",1216,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","2012","Recorded",1078,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",970,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",1250,
"Central District","Total Scene","Miscellaneous offences","1994","Recorded",137,
"Central District","Total Scene","Miscellaneous offences","1995","Recorded",144,
"Central District","Total Scene","Miscellaneous offences","1996","Recorded",136,
"Central District","Total Scene","Miscellaneous offences","1997","Recorded",169,
"Central District","Total Scene","Miscellaneous offences","1998","Recorded",118,
"Central District","Total Scene","Miscellaneous offences","1999","Recorded",173,
"Central District","Total Scene","Miscellaneous offences","2000","Recorded",110,
"Central District","Total Scene","Miscellaneous offences","2001","Recorded",109,
"Central District","Total Scene","Miscellaneous offences","2002","Recorded",105,
"Central District","Total Scene","Miscellaneous offences","2003","Recorded",133,
"Central District","Total Scene","Miscellaneous offences","2004","Recorded",250,
"Central District","Total Scene","Miscellaneous offences","2005","Recorded",144,
"Central District","Total Scene","Miscellaneous offences","2006","Recorded",273,
"Central District","Total Scene","Miscellaneous offences","2007","Recorded",286,
"Central District","Total Scene","Miscellaneous offences","2008","Recorded",293,
"Central District","Total Scene","Miscellaneous offences","2009","Recorded",141,
"Central District","Total Scene","Miscellaneous offences","2010","Recorded",141,
"Central District","Total Scene","Miscellaneous offences","2011","Recorded",105,
"Central District","Total Scene","Public order offences","2011","Recorded",3003,
"Central District","Total Scene","Public order offences","2012","Recorded",2598,
"Central District","Total Scene","Public order offences","2013","Recorded",2613,
"Central District","Total Scene","Total Offences","1994","Resolved",17106,
"Central District","Total Scene","Total Offences","1995","Resolved",17412,
"Central District","Total Scene","Total Offences","1996","Resolved",17319,
"Central District","Total Scene","Total Offences","1997","Resolved",17647,
"Central District","Total Scene","Total Offences","1998","Resolved",17830,
"Central District","Total Scene","Total Offences","1999","Resolved",17528,
"Central District","Total Scene","Total Offences","2000","Resolved",16938,
"Central District","Total Scene","Total Offences","2001","Resolved",16782,
"Central District","Total Scene","Total Offences","2002","Resolved",15433,
"Central District","Total Scene","Total Offences","2003","Resolved",16758,
"Central District","Total Scene","Total Offences","2004","Resolved",14453,
"Central District","Total Scene","Total Offences","2005","Resolved",13555,
"Central District","Total Scene","Total Offences","2006","Resolved",14823,
"Central District","Total Scene","Total Offences","2007","Resolved",15640,
"Central District","Total Scene","Total Offences","2008","Resolved",16301,
"Central District","Total Scene","Total Offences","2009","Resolved",16031,
"Central District","Total Scene","Total Offences","2010","Resolved",15729,
"Central District","Total Scene","Total Offences","2011","Resolved",16271,
"Central District","Total Scene","Total Offences","2012","Resolved",13813,
"Central District","Total Scene","Total Offences","2013","Resolved",13617,
"Central District","Total Scene","Total Offences","2014","Resolved",12760,
"Central District","Total Scene","Public order offences","2014","Recorded",1811,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","1994","Recorded",960,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","1995","Recorded",1052,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","1996","Recorded",1443,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","1997","Recorded",1694,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","1998","Recorded",1789,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","1999","Recorded",1967,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","2000","Recorded",2008,
"Central District","Total Scene","Property damage and environmental pollution","1994","Recorded",5278,
"Central District","Total Scene","Property damage and environmental pollution","1995","Recorded",5965,
