Location,Scene,Offence,Year,Measure,Value,Flags
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","1998","Recorded",8620,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","1999","Recorded",7489,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2000","Recorded",6220,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2001","Recorded",5464,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2002","Recorded",5500,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2003","Recorded",6219,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2004","Recorded",5496,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2005","Recorded",5439,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2006","Recorded",5746,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2007","Recorded",5276,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2008","Recorded",5956,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2009","Recorded",6257,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2010","Recorded",5752,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2011","Recorded",5876,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2012","Recorded",4436,
"Waitemata District","Total Scene","Theft and related offences","1994","Recorded",11418,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2011","Recorded",592,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2012","Recorded",568,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",492,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",425,
"Waitemata District","Total Scene","Theft and related offences","1995","Recorded",13018,
"Waitemata District","Total Scene","Theft and related offences","1996","Recorded",13946,
"Waitemata District","Total Scene","Theft and related offences","1997","Recorded",14060,
"Waitemata District","Total Scene","Theft and related offences","1998","Recorded",14131,
"Waitemata District","Total Scene","Theft and related offences","1999","Recorded",13142,
"Waitemata District","Total Scene","Theft and related offences","2000","Recorded",12566,
"Waitemata District","Total Scene","Theft and related offences","2001","Recorded",12375,
"Waitemata District","Total Scene","Theft and related offences","2002","Recorded",13205,
"Waitemata District","Total Scene","Theft and related offences","2003","Recorded",13428,
"Waitemata District","Total Scene","Theft and related offences","2004","Recorded",12685,
"Waitemata District","Total Scene","Theft and related offences","2005","Recorded",13576,
"Waitemata District","Total Scene","Theft and related offences","2006","Recorded",14302,
"Waitemata District","Total Scene","Theft and related offences","2007","Recorded",12804,
"Waitemata District","Total Scene","Theft and related offences","2008","Recorded",12680,
"Waitemata District","Total Scene","Theft and related offences","2009","Recorded",12956,
